group,x_title,y_title,x,y
Sham,a,a,1.209567563,1.209757528
Sham,a,a,0.958687678,0.962437587
Sham,a,a,0.929202234,0.869864178
Sham,a,a,0.861708183,0.889826988
Sham,a,a,0.977154165,1.020498292
Sham,a,a,1.063680177,1.047615426
Den,a,a,1.268898011,0.652094648
Den,a,a,1.014586408,0.596957299
Den,a,a,1.00845113,0.564940138
Den,a,a,0.998093254,0.393308547
Den,a,a,1.003391592,0.598860328
Den,a,a,0.917213271,0.604234379
Sham,b,a,0.907248731,1.209757528
Sham,b,a,1.000139419,0.962437587
Sham,b,a,0.87252343,0.869864178
Sham,b,a,0.991419118,0.889826988
Sham,b,a,1.089824127,1.020498292
Sham,b,a,1.138845175,1.047615426
Den,b,a,0.497511753,0.652094648
Den,b,a,0.512543857,0.596957299
Den,b,a,0.479663316,0.564940138
Den,b,a,0.520245895,0.393308547
Den,b,a,0.624777569,0.598860328
Den,b,a,0.586833475,0.604234379
Sham,c,a,1.147787372,1.209757528
Sham,c,a,0.946802892,0.962437587
Sham,c,a,1.077967958,0.869864178
Sham,c,a,0.941751092,0.889826988
Sham,c,a,0.943805659,1.020498292
Sham,c,a,0.941885028,1.047615426
Den,c,a,0.584832444,0.652094648
Den,c,a,0.626093969,0.596957299
Den,c,a,0.537311675,0.564940138
Den,c,a,0.585103536,0.393308547
Den,c,a,0.587265833,0.598860328
Den,c,a,0.554595588,0.604234379
Sham,d,a,1.125263204,1.209757528
Sham,d,a,0.942892191,0.962437587
Sham,d,a,0.932147142,0.869864178
Sham,d,a,0.97836484,0.889826988
Sham,d,a,1.012609164,1.020498292
Sham,d,a,1.008723459,1.047615426
Den,d,a,0.656463908,0.652094648
Den,d,a,0.625266218,0.596957299
Den,d,a,0.608000893,0.564940138
Den,d,a,0.627355373,0.393308547
Den,d,a,0.667794968,0.598860328
Den,d,a,0.614220702,0.604234379
