x,group,individual,y
a,Sham,a,1.057195792
a,Sham,b,0.708977703
a,Sham,c,0.633890892
a,Sham,d,1.067348422
a,Sham,e,1.357443243
a,Sham,f,1.175143947
a,Den,a,0.402171558
a,Den,b,0.247813783
a,Den,c,0.269385943
a,Den,d,0.400528382
a,Den,e,0.997312124
a,Den,f,0.600657578
b,Sham,a,1.224258941
b,Sham,b,0.927863385
b,Sham,c,0.935054822
b,Sham,d,0.898976985
b,Sham,e,0.974955368
b,Sham,f,1.0388905
b,Den,a,0.910577736
b,Den,b,0.733808775
b,Den,c,0.85172327
b,Den,d,0.782758256
b,Den,e,0.850516098
b,Den,f,0.713469778
c,Sham,a,0.846123346
c,Sham,b,0.955863981
c,Sham,c,0.873274316
c,Sham,d,1.038599411
c,Sham,e,0.994371256
c,Sham,f,1.29176769
c,Den,a,0.35170945
c,Den,b,0.447632128
c,Den,c,0.425756127
c,Den,d,0.417616322
c,Den,e,0.536294338
c,Den,f,0.518638312
d,Sham,a,1.068330433
d,Sham,b,0.991354529
d,Sham,c,0.849932995
d,Sham,d,0.82520491
d,Sham,e,1.017932437
d,Sham,f,1.247244696
d,Den,a,0.637392362
d,Den,b,0.51990786
d,Den,c,0.425076434
d,Den,d,0.628352491
d,Den,e,0.704962587
d,Den,f,0.748995415
e,Sham,a,0.909703748
e,Sham,b,1.046509511
e,Sham,c,0.879819057
e,Sham,d,1.00440971
e,Sham,e,1.20861318
e,Sham,f,0.950944794
e,Den,a,0.590213554
e,Den,b,0.573331623
e,Den,c,0.551720525
e,Den,d,0.582070147
e,Den,e,0.682707704
e,Den,f,0.595810235
f,Sham,a,1.249793491
f,Sham,b,0.797815761
f,Sham,c,0.944306254
f,Sham,d,1.257316157
f,Sham,e,0.997478565
f,Sham,f,0.753289772
f,Den,a,0.523152035
f,Den,b,0.609527224
f,Den,c,0.941752598
f,Den,d,0.654335762
f,Den,e,0.543674076
f,Den,f,0.58764121
g,Sham,a,1.136206391
g,Sham,b,0.88217434
g,Sham,c,1.140176333
g,Sham,d,0.960577714
g,Sham,e,0.925962306
g,Sham,f,0.954902916
g,Den,a,0.51174731
g,Den,b,0.535993316
g,Den,c,0.489319298
g,Den,d,0.524686679
g,Den,e,0.467747047
g,Den,f,0.469135818
h,Sham,a,1.172630372
h,Sham,b,1.085441159
h,Sham,c,0.944521345
h,Sham,d,0.901365067
h,Sham,e,0.982082418
h,Sham,f,0.913959639
h,Den,a,0.74161139
h,Den,b,0.81937384
h,Den,c,0.640262767
h,Den,d,0.714707063
h,Den,e,0.843652163
h,Den,f,0.737920049
i,Sham,a,1.338477946
i,Sham,b,0.867847291
i,Sham,c,0.703427662
i,Sham,d,1.059363101
i,Sham,e,1.07571076
i,Sham,f,0.95517324
i,Den,a,0.371849814
i,Den,b,0.322279853
i,Den,c,0.315184548
i,Den,d,0.42003378
i,Den,e,0.546103489
i,Den,f,0.406111724
